Lattice,E_tot,E_fermi
2.652,-152.766716,-4.91158811647381
2.653,-152.764974,-4.91421138751242
2.654,-152.763233,-4.91637335941580
2.655,-152.761465,-4.91848171343384
2.656,-152.759685,-4.92058276007026
2.657,-152.757894,-4.92267658425590
2.658,-152.756091,-4.92476354306128
2.659,-152.754277,-4.92684325468917
2.66,-152.752451,-4.92891584456352
2.661,-152.750613,-4.93098143057797
2.662,-152.748764,-4.93303992278529
2.663,-152.746903,-4.93509143925636
2.664,-152.745030,-4.93713591515946
2.665,-152.743147,-4.93917336604451
2.666,-152.741252,-4.94120383205140
2.667,-152.739342,-4.94322805610423
2.668,-152.737427,-4.94524355799670
2.669,-152.735498,-4.94725303862648
2.67,-152.733541,-4.94925166105423
2.671,-152.731605,-4.95125105544308
2.672,-152.729641,-4.95323967785958
2.673,-152.727528,-4.95509474486176
2.674,-152.725287,-4.95702954753943
2.675,-152.723034,-4.95895773189395
2.676,-152.720770,-4.96087920111188
2.677,-152.718496,-4.96279402273263
2.678,-152.716210,-4.96470218877552
2.679,-152.713914,-4.96660376645242
2.68,-152.711591,-4.96849490140669
2.681,-152.709288,-4.97038715328940
2.682,-152.706959,-4.97226900052333
2.683,-152.704620,-4.97414431646268
2.684,-152.702270,-4.97601311936604
2.685,-152.699909,-4.97787543404490
2.686,-152.697537,-4.97973127319644
2.687,-152.695154,-4.98157625932375
2.688,-152.692761,-4.98341912715253
2.689,-152.690359,-4.98525556883451
2.69,-152.687945,-4.98708564870544
2.691,-152.685522,-4.98890934142540
2.692,-152.683088,-4.99072668464551
2.693,-152.680643,-4.99253769824958
2.694,-152.678189,-4.99434241662719
2.695,-152.675724,-4.99614086232494
2.696,-152.673249,-4.99793305774183
2.697,-152.670764,-4.99971904569714
2.698,-152.668269,-5.00149886886440
2.699,-152.665763,-5.00327257932175
2.7,-152.663248,-5.00504021619310
2.701,-152.660722,-5.00680178952538
2.702,-152.658188,-5.00855749728358
2.703,-152.655642,-5.01030718887117
2.704,-152.653088,-5.01205109565207
2.705,-152.650523,-5.01378912219576
2.706,-152.647949,-5.01552139085923
2.707,-152.645365,-5.01724791729692
2.708,-152.642776,-5.01896964111693
2.709,-152.640171,-5.02068455364614
2.71,-152.637558,-5.02239411083699
2.711,-152.634933,-5.02411728913011
2.712,-152.632298,-5.02581819830166
2.713,-152.629661,-5.02751475713675
2.714,-152.627018,-5.02920636859453
2.715,-152.624350,-5.03088919488633
2.716,-152.621682,-5.03256839522233
2.717,-152.619005,-5.03424208420735
2.718,-152.616319,-5.03591022245856
2.719,-152.613624,-5.03757279207140
2.72,-152.610920,-5.03922981815637
2.721,-152.608208,-5.04088147981842
2.722,-152.605487,-5.04252782211029
2.723,-152.602758,-5.04416865022123
2.724,-152.600023,-5.04580477351509
2.725,-152.597279,-5.04743507625457
2.726,-152.594542,-5.04906471131806
2.727,-152.591787,-5.05068597698036
2.728,-152.589027,-5.05230285245241
2.729,-152.586298,-5.05392565267188
2.73,-152.583572,-5.05554596548824
2.731,-152.580984,-5.05720367002028
2.732,-152.580011,-5.05932228857597
